id;product_id;brand;store_id;presentation;price;date
219;Atun en Agua;Gomes;Alves Supermarket;160 g;3.99;2/10/23
220;Atun en Agua;Van Camps;Alves Supermarket;160 g;3.29;2/10/23
221;Atun en Aceite ;Van Camps;Alves Supermarket;160 g;3.53;2/10/23
222;Atun en Agua;Gomes;Esperamos Supermarket;160 g;4;2/10/23
223;Atun en Agua;Sa-Pac;Esperamos Supermarket;160 g;3.38;2/10/23
224;Atun en Aceite ;Sa-Pac;Esperamos Supermarket;160 g;3.56;2/10/23
225;Aceite de Soya;Dioro;Mangusa Hypermarket;1 lt;6.67;2/10/23
226;Aceite de Girasol;Kent;Mangusa Hypermarket;1 lt;6.46;2/10/23
227;Aceite de Soya;Cocamar;Mangusa Hypermarket;900 ml;4.58;2/10/23
228;Aceite de Soya;Ambar;Mangusa Hypermarket;900 ml;5.99;2/10/23
229;Aceite de Soya;Alberto;Mangusa Hypermarket;1 lt;6.99;2/10/23
230;Aceite de Soya;Crisol;Mangusa Hypermarket;1 lt;6.83;2/10/23
231;Smoked Pork Chop;Otra ;Vreugdenhil Supermarket;1 kg;16.95;9/10/23
232;Deviled Ham;Underwood;Bon Bini Supermarket;120 g;6.25;15/1/24
233;Maple Ham;Underwood;Bon Bini Supermarket;120 g;5.67;15/1/24
234;Atun en Agua;Van Camps;Bon Bini Supermarket;160 g;3.23;15/1/24
238;Atun en Agua;Perfect Catch;Bon Bini Supermarket;160 g;3.18;15/1/24
245;Atun en Agua;Gomes;Bon Bini Supermarket;160 g;3.83;15/1/24
246;Atun en Aceite ;Gomes;Bon Bini Supermarket;160 g;3.83;15/1/24
247;Atun Maiz y Vegetales;Van Camps;Bon Bini Supermarket;150 g;2.93;15/1/24
248;Smoked Pork Chop;Mr Raucher;Bon Bini Supermarket;1 kg;22.95;15/1/24
249;Aceite de Soya;Dioro;Bon Bini Supermarket;1 lt;6.67;15/1/24
251;Aceite de Soya;Dioro;Bon Bini Supermarket;2.839 lt;22.78;15/1/24
255;Aceite de Girasol;Kent;Bon Bini Supermarket;5 lt;35.45;15/1/24
235;Atun en Aceite ;Van Camps;Bon Bini Supermarket;160 g;3.53;15/1/24
236;Atun en Aceite de Oliva;Van Camps;Bon Bini Supermarket;160 g;3.96;15/1/24
237;Atun en Aceite ;Perfect Catch;Bon Bini Supermarket;160 g;3.18;15/1/24
241;Atun en Agua;Sa-Pac;Bon Bini Supermarket;160 g;3.45;15/1/24
242;Atun en Aceite ;Sa-Pac;Bon Bini Supermarket;160 g;3.8;15/1/24
243;Atun en Aceite ;Blue Pacific ;Bon Bini Supermarket;160 g;3.86;15/1/24
244;Atun en Agua;Blue Pacific ;Bon Bini Supermarket;160 g;3.86;15/1/24
250;Aceite de Soya;Dioro;Bon Bini Supermarket;1.892 lt;16.73;15/1/24
252;Aceite de Soya;Dioro;Bon Bini Supermarket;3 lt;20.99;15/1/24
253;Aceite de Soya;Dioro;Bon Bini Supermarket;5 lt;31.66;15/1/24
254;Aceite de Girasol;Kent;Bon Bini Supermarket;1 lt;6.81;15/1/24
256;Aceite de Soya;Crisol;Bon Bini Supermarket;1 lt;7.99;15/1/24
257;Aceite de Soya;Crisol;Bon Bini Supermarket;1.892 lt;15.06;15/1/24
258;Aceite de Soya;Crisol;Bon Bini Supermarket;3.78;29.65;15/1/24
259;Aceite de Soya;Nika;Bon Bini Supermarket;1 lt;5.94;15/1/24
260;Smoked Pork Chop;Mr Raucher;Alves Supermarket;1 kg;22.74;15/1/24
261;Smoked Chicken Ham ;Jomar;Alves Supermarket;1 kg;23.52;15/1/24
263;Cooked Chicken Ham;Jomar;Alves Supermarket;1 kg;21.75;15/1/24
264;Deviled Ham;Underwood;Alves Supermarket;120 g;6.56;15/1/24
265;Roast Beef;Underwood;Alves Supermarket;120 g;8.57;15/1/24
266;Atun en Agua;Van Camps;Alves Supermarket;160 g;3.29;15/1/24
267;Atun en Aceite ;Van Camps;Alves Supermarket;160 g;3.53;15/1/24
268;Atun en Agua;Gomes;Alves Supermarket;160 g;3.99;15/1/24
269;Atun en Agua;Sa-Pac;Alves Supermarket;160 g;3.41;15/1/24
270;Atun en Aceite ;Gomes;Alves Supermarket;160 g;3.99;15/1/24
271;Atun en Agua;Perfect Catch;Alves Supermarket;160 g;3.33;15/1/24
272;Atun en Aceite ;Perfect Catch;Alves Supermarket;160 g;3.33;15/1/24
273;Atun en Aceite ;Blue Pacific ;Alves Supermarket;160 g;4.3;15/1/24
274;Atun en Agua;Blue Pacific ;Alves Supermarket;160 g;4.13;15/1/24
275;Atun Maiz y Vegetales;Blue Pacific ;Alves Supermarket;140 g ;3.9;15/1/24
276;Atun en Aceite ;Sa-Pac;Alves Supermarket;160 g;3.61;15/1/24
277;Atun en Agua;Van Camps;Alves Supermarket;80 g;5.49;15/1/24
278;Atun en Aceite ;Van Camps;Alves Supermarket;80 g;5.85;15/1/24
279;Smoked Chicken Ham Olive;Mr Raucher;Centrum Supermarket Piscadera;1 kg;17.48;15/1/24
280;Cooked Chicken Ham;Jomar;Centrum Supermarket Piscadera;1 kg;15.48;15/1/24
281;Deviled Ham;Underwood;Centrum Supermarket Piscadera;120 g;5.23;15/1/24
282;Maple Ham;Underwood;Centrum Supermarket Piscadera;120 g;6.77;15/1/24
283;Roast Beef;Underwood;Centrum Supermarket Piscadera;120 g;5.23;15/1/24
284;Smoked Chicken Ham ;Mr Raucher;Carrefour Market;1 kg;19.17;15/1/24
285;Round Smoked Shoulder ;Mr Raucher;Carrefour Market;1 kg;21.95;15/1/24
286;Smoked Chicken Ham Olive;Mr Raucher;Carrefour Market;1 kg;20.95;15/1/24
287;Smoked Pork Loin;Mr Raucher;Carrefour Market;1 kg;26.55;15/1/24
288;Smoked Chicken Breast ;Mr Raucher;Carrefour Market;1 kg;19.17;15/1/24
289;Atun en Agua;Gomes;Carrefour Market;160 g;4.26;15/1/24
290;Aceite de Soya;Crisol;Carrefour Market;3.78 lt;29.65;15/1/24
291;Aceite de Girasol;Kent;Carrefour Market;3 lt;26;15/1/24
292;Aceite de Girasol;Kent;Carrefour Market;5 lt;39;15/1/24
293;Aceite de Soya;Dioro;Mangusa Supermarket;1 lt;6.67;15/1/24
294;Aceite de Soya;Nika;Mangusa Supermarket;1 lt;5.94;15/1/24
295;Aceite de Girasol;Kent;Mangusa Supermarket;5 lt;31.7;15/1/24
296;Aceite Vegetal;Alberto;Mangusa Supermarket;1 lt;6.99;15/1/24
297;Atun en Agua;Van Camps;Mangusa Supermarket;160 g;3.25;15/1/24
298;Atun en Aceite ;Van Camps;Mangusa Supermarket;160 g;3.55;15/1/24
299;Atun en Finas Hierbas;Van Camps;Mangusa Supermarket;160 g;3.95;15/1/24
300;Atun en Aceite de Oliva;Van Camps;Mangusa Supermarket;160 g;3.95;15/1/24
301;Atun en Agua;Van Camps;Mangusa Supermarket;80 g;5.35;15/1/24
302;Atun en Aceite ;Van Camps;Mangusa Supermarket;80 g;5.75;15/1/24
303;Atun en Aceite de Oliva;Van Camps;Mangusa Supermarket;80 g;6.55;15/1/24
304;Atun en Agua;Sa-Pac;Mangusa Supermarket;160 g;3.26;15/1/24
305;Atun en Aceite ;Sa-Pac;Mangusa Supermarket;160 g;3.43;15/1/24
306;Atun en Aceite ;Blue Pacific ;Mangusa Supermarket;160 g;3.86;15/1/24
307;Atun en Agua;Bala;Mangusa Supermarket;160 g;2.35;15/1/24
308;Atun en Aceite ;Bala;Mangusa Supermarket;160 g;2.65;15/1/24
309;Deviled Ham;Underwood;Mangusa Supermarket;120 g;6.23;15/1/24
310;Roast Beef;Underwood;Mangusa Supermarket;120 g;6.23;15/1/24
311;Maple Ham;Underwood;Mangusa Supermarket;120 g;5.67;15/1/24
312;Atun en Agua;Van Camps;Centrum Supermarket Mahaai;160 g;3.21;15/1/24
313;Atun en Aceite ;Van Camps;Centrum Supermarket Mahaai;160 g;3.5;15/1/24
314;Atun en Aceite de Oliva;Van Camps;Centrum Supermarket Mahaai;160 g;4.17;15/1/24
315;Atun en Aceite ;Blue Pacific ;Centrum Supermarket Mahaai;160 g;3.99;15/1/24
316;Atun Maiz y Vegetales;Blue Pacific ;Centrum Supermarket Mahaai;140 g ;3.41;15/1/24
317;Atun en Aceite ;Gomes;Centrum Supermarket Mahaai;160 g;3.69;15/1/24
318;Atun en Aceite ;Perfect Catch;Centrum Supermarket Mahaai;160 g;3.28;15/1/24
319;Atun en Agua;Perfect Catch;Centrum Supermarket Mahaai;160 g;3.29;15/1/24
320;Aceite Vegetal;Dioro;Centrum Supermarket Mahaai;1 lt;6.67;15/1/24
321;Aceite Vegetal;Dioro;Centrum Supermarket Mahaai;1.892 lt;16.73;15/1/24
322;Aceite Vegetal;Dioro;Centrum Supermarket Mahaai;2.839 lt;22.78;15/1/24
324;Aceite Vegetal;Dioro;Centrum Supermarket Mahaai;3 lt;20.99;15/1/24
325;Aceite Vegetal;Nika;Centrum Supermarket Mahaai;5 lt;34.43;15/1/24
326;Aceite Vegetal;Nika;Centrum Supermarket Mahaai;3 lt;17.88;15/1/24
327;Aceite Vegetal;Nika;Centrum Supermarket Mahaai;1.5 lt;9.59;15/1/24
328;Aceite de Girasol;Orkide;Centrum Supermarket Mahaai;1 lt;6.87;15/1/24
329;Aceite de Girasol;Orkide;Centrum Supermarket Mahaai;2 lt;13.7;15/1/24
330;Aceite de Girasol;Orkide;Centrum Supermarket Mahaai;3 lt;22.99;15/1/24
331;Aceite de Girasol;Orkide;Centrum Supermarket Mahaai;5 lt;34.89;15/1/24
332;Atun en Agua;Van Camps;Boulevard Market;160 g;3.65;15/1/24
333;Atun en Aceite ;Van Camps;Boulevard Market;160 g;3.95;15/1/24
334;Atun en Aceite de Oliva;Van Camps;Boulevard Market;160 g;4.05;15/1/24
335;Atun en Finas Hierbas;Van Camps;Boulevard Market;160 g;4.05;15/1/24
336;Atun Maiz y Vegetales;Van Camps;Boulevard Market;150 g;3.75;15/1/24
337;Atun Champiñones ;Van Camps;Boulevard Market;150 g;3.75;15/1/24
338;Atun en Aceite ;Blue Pacific ;Boulevard Market;160 g;4.09;15/1/24
339;Atun Maiz y Vegetales;Blue Pacific ;Boulevard Market;140 g ;3.75;15/1/24
340;Atun en Agua;Blue Pacific ;Boulevard Market;160 g;4.09;15/1/24
341;Atun en Agua;Sa-Pac;Boulevard Market;160 g;3.25;15/1/24
342;Atun en Aceite ;Sa-Pac;Boulevard Market;160 g;3.55;15/1/24
343;Atun en Agua;Perfect Catch;Boulevard Market;160 g;3.45;15/1/24
344;Atun en Aceite ;Perfect Catch;Boulevard Market;160 g;3.45;15/1/24
345;Deviled Ham;Underwood;Boulevard Market;120 g;6.89;15/1/24
346;Liverwurst;Underwood;Boulevard Market;120 g;6.89;15/1/24
347;Maple Ham;Underwood;Boulevard Market;120 g;6.95;15/1/24
348;Roast Beef;Underwood;Boulevard Market;120 g;6.95;15/1/24
350;Aceite de Girasol;Kent;Boulevard Market;1 lt;8.65;15/1/24
355;Aceite Vegetal;Nika;Boulevard Market;3 lt;17.88;15/1/24
356;Aceite de Girasol;Orkide;Boulevard Market;3 lt;21.75;15/1/24
360;Aceite Vegetal;Dioro;Boulevard Market;2.839 lt;28.72;15/1/24
361;Aceite Vegetal;Dioro;Boulevard Market;3 lt;24.16;15/1/24
362;Aceite Vegetal;Dioro;Boulevard Market;5 lt;39.27;15/1/24
349;Aceite de Soya;Crisol;Boulevard Market;1 lt;6.82;15/1/24
351;Aceite de Girasol;Kent;Boulevard Market;2 lt;17.19;15/1/24
352;Aceite de Girasol;Kent;Boulevard Market;5 lt;40.55;15/1/24
353;Aceite Vegetal;Nika;Boulevard Market;1.5 lt;9.59;15/1/24
354;Aceite de Girasol;Orkide;Boulevard Market;1 lt;6.87;15/1/24
357;Aceite de Girasol;Orkide;Boulevard Market;5 lt;39.65;15/1/24
358;Aceite Vegetal;Dioro;Boulevard Market;1 lt;6.67;15/1/24
359;Aceite Vegetal;Dioro;Boulevard Market;1.892 lt;18.69;15/1/24
262;Smoked Chicken Ham Olive;Jomar;Alves Supermarket;1 kg;22.78;15/1/24
323;Aceite Vegetal;Dioro;Centrum Supermarket Mahaai;5 lt;31.68;15/1/24
363;Atun en Agua;Van Camps;Mangusa Hypermarket;160 g;3.25;16/1/24
364;Atun en Aceite ;Van Camps;Mangusa Hypermarket;160 g;3.55;16/1/24
365;Atun en Aceite de Oliva;Van Camps;Mangusa Hypermarket;160 g;3.95;16/1/24
366;Atun en Finas Hierbas;Van Camps;Mangusa Hypermarket;160 g;3.95;16/1/24
367;Atun Maiz y Vegetales;Van Camps;Mangusa Hypermarket;150 g;3.15;16/1/24
368;Atun Champiñones ;Van Camps;Mangusa Hypermarket;150 g;3.85;16/1/24
369;Atun en Agua;Van Camps;Mangusa Hypermarket;80 g;5.35;16/1/24
370;Atun en Aceite ;Van Camps;Mangusa Hypermarket;80 g;5.75;16/1/24
371;Atun en Aceite de Oliva;Van Camps;Mangusa Hypermarket;80 g;6.55;16/1/24
372;Atun en Finas Hierbas;Van Camps;Mangusa Hypermarket;80 g;6.15;16/1/24
373;Atun en Agua;Van Camps;Mangusa Hypermarket;1.730 g;29.95;16/1/24
374;Atun en Aceite ;Van Camps;Mangusa Hypermarket;1.730 g;31.95;16/1/24
375;Atun en Agua;Bala;Mangusa Hypermarket;160 g;2.65;16/1/24
376;Atun en Aceite ;Bala;Mangusa Hypermarket;160 g;2.45;16/1/24
377;Atun en Aceite ;Sa-Pac;Mangusa Hypermarket;160 g;3.43;16/1/24
378;Atun en Aceite ;Blue Pacific ;Mangusa Hypermarket;160 g;3.86;16/1/24
379;Atun Maiz y Vegetales;Blue Pacific ;Mangusa Hypermarket;140 g ;3.5;16/1/24
380;Atun en Agua;Blue Pacific ;Mangusa Hypermarket;160 g;3.86;16/1/24
381;Deviled Ham;Underwood;Mangusa Hypermarket;120 g;6.23;16/1/24
382;Maple Ham;Underwood;Mangusa Hypermarket;120 g;5.67;16/1/24
383;Liverwurst;Underwood;Mangusa Hypermarket;120 g;6.23;16/1/24
384;Roast Beef;Underwood;Mangusa Hypermarket;120 g;6.23;16/1/24
385;Chicken Spread;Underwood;Mangusa Hypermarket;120 g;6.23;16/1/24
386;Atun en Agua;Bala;Mangusa Hypermarket;1.885 g;29.95;16/1/24
387;Atun en Agua;Perfect Catch;Mangusa Hypermarket;1.880 g;33.91;16/1/24
388;Atun en Agua;Sa-Pac;Mangusa Hypermarket;1.880 g;31.67;16/1/24
389;Deviled Ham;Underwood;Luna Park Supermarket;120 g;6.4;16/1/24
390;Roast Beef;Underwood;Luna Park Supermarket;120 g;6.4;16/1/24
391;Chicken Spread;Underwood;Luna Park Supermarket;120 g;6.4;16/1/24
392;Liverwurst;Underwood;Luna Park Supermarket;120 g;6.4;16/1/24
393;Maple Ham;Underwood;Luna Park Supermarket;120 g;5.85;16/1/24
394;Atun en Agua;Perfect Catch;Luna Park Supermarket;160 g;3.3;16/1/24
395;Atun en Agua;Van Camps;Luna Park Supermarket;160 g;3.4;16/1/24
396;Atun en Aceite ;Van Camps;Luna Park Supermarket;160 g;3.7;16/1/24
397;Atun en Aceite ;Sa-Pac;Luna Park Supermarket;160 g;3.65;16/1/24
398;Atun en Agua;Gomes;Luna Park Supermarket;160 g;4.15;16/1/24
399;Atun Maiz y Vegetales;Van Camps;Luna Park Supermarket;150 g;3.1;16/1/24
400;Atun Maiz y Vegetales;Blue Pacific ;Luna Park Supermarket;140 g ;3.7;16/1/24
401;Atun en Agua;Blue Pacific ;Luna Park Supermarket;160 g;4.1;16/1/24
402;Atun en Aceite ;Blue Pacific ;Luna Park Supermarket;160 g;4.1;16/1/24
403;Aceite Vegetal;Nika;Luna Park Supermarket;1 lt;5.94;16/1/24
404;Aceite Vegetal;Dioro;Luna Park Supermarket;1 lt;6.67;16/1/24
405;Aceite Vegetal;Dioro;Luna Park Supermarket;1.892 lt;16.73;16/1/24
406;Aceite Vegetal;Dioro;Luna Park Supermarket;2.839 lt;22.78;16/1/24
407;Aceite Vegetal;Dioro;Luna Park Supermarket;3.785 lt;29.29;16/1/24
408;Aceite Vegetal;Dioro;Luna Park Supermarket;3 lt;20.99;16/1/24
409;Aceite Vegetal;Dioro;Luna Park Supermarket;5 lt;31.66;16/1/24
410;Aceite de Soya;Crisol;Luna Park Supermarket;1 lt;6.82;16/1/24
411;Gandules Verdes Con Coco;Jaja;Watson;425 g;5.15;16/1/24
412;Gandules Verdes ;Jaja;Watson;425 g;3.35;16/1/24
413;Gandules Verdes ;Sa-Pac;Watson;400 g;1.75;16/1/24
414;Maíz Dulce;Sa-Pac;Watson;340 g;2.25;16/1/24
415;Gandules Verdes Con Coco;La Famosa;Watson;150 g;2.45;16/1/24
416;Maíz Dulce;La Famosa;Watson;150 g;2.25;16/1/24
417;Vegetales Mixtos;La Famosa;Watson;150 g;2.25;16/1/24
418;Habichuelas Rojas;La Famosa;Watson;150 g;1.55;16/1/24
419;Habichuelas Negras;La Famosa;Watson;150 g;1.55;16/1/24
420;Deviled Ham;Underwood;Watson;120 g;6.45;16/1/24
421;Atun en Aceite ;Sa-Pac;Watson;160 g;3.65;16/1/24
422;Atun en Agua;Perfect Catch;Watson;160 g;3.35;16/1/24
423;Atun en Aceite ;Perfect Catch;Watson;160 g;3.35;16/1/24
424;Atun en Agua;Blue Pacific ;Watson;160 g;3.99;16/1/24
425;Atun Maiz y Vegetales;Blue Pacific ;Watson;140 g ;3.75;16/1/24
426;Atun en Aceite ;Blue Pacific ;Watson;160 g;3.99;16/1/24
427;Atun en Agua;Gomes;Watson;160 g;4.25;16/1/24
428;Aceite de Soya;Crisol;Watson;1 lt;6.82;16/1/24
429;Aceite de Soya;Crisol;Watson;1.892 lt;15.06;16/1/24
430;Aceite de Girasol;Orkide;Watson;1 lt;6.87;16/1/24
431;Aceite de Girasol;Kent;Watson;1 lt;7.75;16/1/24
432;Aceite Vegetal;Dioro;Watson;5 lt;31.66;16/1/24
433;Pargo ;Venezuela;Centrum Supermarket Piscadera;1 Kg;18.55;15/1/24
434;Pargo ;Venezuela;Mangusa Supermarket;1 Kg;20.95;15/1/24
435;Pargo ;Venezuela;Centrum Supermarket Piscadera;1 Kg;18.55;5/2/24
436;Pargo ;Venezuela;Mangusa Supermarket;1 Kg;20.95;5/2/24
437;Atun en Agua;Gomes;Bon Bini Supermarket;160 g;3.83;19/2/24
438;Atun en Aceite ;Gomes;Bon Bini Supermarket;160 g;3.83;19/2/24
439;Atun en Agua;Sa-Pac;Bon Bini Supermarket;160 g;3.25;19/2/24
440;Atun en Aceite ;Sa-Pac;Bon Bini Supermarket;160 g;3.43;19/2/24
441;Atun en Agua;Perfect Catch;Bon Bini Supermarket;160 g;3.34;19/2/24
442;Atun en Aceite ;Perfect Catch;Bon Bini Supermarket;160 g;3.44;19/2/24
443;Atun en Agua;Blue Pacific ;Bon Bini Supermarket;160 g;3.86;19/2/24
444;Atun en Aceite ;Blue Pacific ;Bon Bini Supermarket;160 g;3.86;19/2/24
445;Atun Maiz y Vegetales;Blue Pacific ;Bon Bini Supermarket;150 g;3.5;19/2/24
446;Atun en Agua;Bala;Bon Bini Supermarket;160 g;3.12;19/2/24
447;Atun en Aceite ;Bala;Bon Bini Supermarket;160 g;3.23;19/2/24
448;Atun en Agua;Van Camps;Bon Bini Supermarket;160 g;3.23;19/2/24
449;Atun en Aceite ;Van Camps;Bon Bini Supermarket;160 g;3.53;19/2/24
450;Atun en Aceite de Oliva;Van Camps;Bon Bini Supermarket;160 g ;3.96;19/2/24
451;Atun Maiz y Vegetales;Van Camps;Bon Bini Supermarket;150 g ;2.93;19/2/24
452;Agua;SPA;Mangusa Hypermarket;500 ml;1.51;19/2/24
453;Agua;Blue Waters;Mangusa Hypermarket;500 ml;0.88;19/2/24
454;Agua;Mangusa;Mangusa Hypermarket;500 ml;0.6;19/2/24
455;Agua;Lovers;Mangusa Hypermarket;500 ml;0.83;19/2/24
456;Agua;Kardelen;Mangusa Hypermarket;500 ml;0.66;19/2/24
457;Agua;Claro;Mangusa Hypermarket;500 ml;0.85;19/2/24
458;Agua;iCool;Mangusa Hypermarket;500 ml;0.63;19/2/24
459;Agua;Kirkland;Mangusa Hypermarket;500 ml;0.75;19/2/24
460;Tenedores Plasticos;Emerald;Bon Bini Supermarket;25 Und;2.25;26/2/24
461;Cucharas Plasticas;Emerald;Bon Bini Supermarket;25 Und;2.25;26/2/24
462;Tenedores Plasticos;Emerald;Bon Bini Supermarket;100 Und;4.35;26/2/24
463;Vasos de Papel Cafe 8oz;Emerald;Bon Bini Supermarket;50 Und;5.75;26/2/24
464;Vasos de Papel Cafe 6oz;Emerald;Bon Bini Supermarket;50 Und;6.25;26/2/24
465;Tenedores Plasticos;Greenplast;Bon Bini Supermarket;20 Und;1.15;26/2/24
466;Vasos Plasticos 10oz;Emerald;Bon Bini Supermarket;50 Und;5.5;26/2/24
467;Vasos Plasticos 7oz;Emerald;Bon Bini Supermarket;50 Und;4.95;26/2/24
468;Vasos Plasticos 5oz;Emerald;Bon Bini Supermarket;50 Und;3.95;26/2/24
469;Vasos Plasticos 10oz;Plastifar;Timmy Sumermarket;50 Und;4.95;26/2/24
470;Vasos Plasticos 10oz;Plastifar;Gosie Minimarket;50 Und;4.95;26/2/24
471;Vasos Plasticos 16oz;Plastifar;Bon Bini Supermarket;25 Und;4.25;26/2/24
